Filename,Label,Area,No. of peaks,Length
COR_12_5_Hos,0,7555.0,3,192.0
COR_12_5_Hos,0,17412.0,1,214.0
COR_12_5_Hos,0,4686.5,1,224.0
COR_12_5_Hos,0,3411.0,1,239.0
COR_12_5_Hos,0,4335.5,2,245.0
COR_12_5_Hos,0,3087.0,1,264.0
COR_12_5_Hos,0,9955.5,3,268.0
COR_12_5_Hos,1,37010.0,2,272.0
COR_12_5_Hos,0,36440.0,4,278.0
COR_12_5_Hos,0,13175.5,3,284.0
COR_12_5_Hos,0,8673.0,2,288.0
COR_12_5_Hos,1,38045.0,2,292.0
COR_12_5_Hos,0,3504.5,2,318.0
COR_12_5_Hos,0,13085.5,1,352.0
COR_12_5_Hos,0,8352.5,1,393.0
COR_12_5_Hos,0,5368.5,1,423.0
COR_12_6_Hos,0,21301.5,3,46.0
COR_12_6_Hos,0,17693.5,4,51.0
COR_12_6_Hos,0,10957.5,5,55.0
COR_12_6_Hos,0,11239.5,6,57.0
COR_12_6_Hos,0,10344.0,5,58.0
COR_12_6_Hos,0,13513.0,4,69.0
COR_12_6_Hos,0,18713.0,2,84.0
COR_12_6_Hos,0,24091.0,2,90.0
COR_12_6_Hos,0,4126.5,2,105.0
COR_12_6_Hos,0,133014.0,2,116.0
COR_12_6_Hos,0,117609.5,3,122.0
COR_12_6_Hos,0,7609.0,4,128.0
COR_12_6_Hos,0,3550.5,1,151.0
COR_12_6_Hos,0,3995.0,2,165.0
COR_12_6_Hos,0,5841.0,3,169.0
COR_12_6_Hos,0,3619.0,1,178.0
COR_12_6_Hos,0,4572.0,2,182.0
COR_12_6_Hos,0,5113.5,2,192.0
COR_12_6_Hos,0,14272.0,2,214.0
COR_12_6_Hos,0,17815.0,2,216.0
COR_12_6_Hos,0,2445.5,1,239.0
COR_12_6_Hos,0,3666.5,4,272.0
COR_12_6_Hos,0,9832.0,4,278.0
COR_12_6_Hos,0,11502.0,3,280.0
COR_12_6_Hos,1,29562.5,3,284.0
COR_12_6_Hos,0,29841.5,3,288.0
COR_12_6_Hos,1,61835.0,2,292.0
COR_12_6_Hos,0,1940.5,1,318.0
COR_12_6_Hos,0,12711.5,1,352.0
COR_12_6_Hos,0,15849.5,2,354.0
COR_12_6_Hos,0,3484.5,1,423.0
COR_12_7_Hos,0,26771.0,2,43.0
COR_12_7_Hos,0,23315.5,3,47.0
COR_12_7_Hos,0,22710.0,4,49.0
COR_12_7_Hos,0,18922.0,4,51.0
COR_12_7_Hos,0,11383.5,6,55.0
COR_12_7_Hos,0,11052.0,6,57.0
COR_12_7_Hos,0,9758.5,5,58.0
COR_12_7_Hos,0,10585.5,3,69.0
COR_12_7_Hos,0,37259.5,3,83.0
COR_12_7_Hos,0,40099.5,3,90.0
COR_12_7_Hos,0,11044.5,3,105.0
COR_12_7_Hos,0,4909.0,2,116.0
COR_12_7_Hos,0,9629.5,2,119.0
COR_12_7_Hos,0,10889.0,4,121.0
COR_12_7_Hos,0,13800.5,2,127.0
COR_12_7_Hos,0,4793.0,1,155.0
COR_12_7_Hos,0,9160.0,2,160.0
COR_12_7_Hos,0,8341.5,2,164.0
COR_12_7_Hos,0,9794.5,4,171.0
COR_12_7_Hos,0,13760.5,4,172.0
COR_12_7_Hos,0,8141.5,3,180.0
COR_12_7_Hos,0,4212.0,2,190.0
COR_12_7_Hos,0,6867.0,2,192.0
COR_12_7_Hos,0,38000.0,2,214.0
COR_12_7_Hos,0,4567.5,1,224.0
COR_12_7_Hos,0,3605.5,2,238.0
COR_12_7_Hos,0,6264.0,2,261.0
COR_12_7_Hos,0,19466.0,3,265.0
COR_12_7_Hos,1,84225.5,2,268.0
COR_12_7_Hos,0,73196.5,2,272.0
COR_12_7_Hos,0,23813.5,2,277.0
COR_12_7_Hos,0,3648.0,3,318.0
COR_12_7_Hos,0,11835.0,1,342.0
COR_12_7_Hos,0,19671.0,2,352.0
COR_12_7_Hos,0,2955.0,2,370.0
COR_12_7_Hos,0,9447.0,1,423.0
COR_12_7_Hos,0,5026.5,1,464.0
COR_12_8_Hos,0,24889.0,3,43.0
COR_12_8_Hos,0,21449.5,3,47.0
COR_12_8_Hos,0,19503.5,4,49.0
COR_12_8_Hos,0,15330.5,5,51.0
COR_12_8_Hos,0,11037.0,5,53.0
COR_12_8_Hos,0,8616.5,5,57.0
COR_12_8_Hos,0,6215.0,3,65.0
COR_12_8_Hos,0,18722.5,3,69.0
COR_12_8_Hos,0,22314.5,3,72.0
COR_12_8_Hos,0,11520.0,2,84.0
COR_12_8_Hos,0,13275.0,4,90.0
COR_12_8_Hos,0,11517.5,3,92.0
COR_12_8_Hos,0,6367.5,1,105.0
COR_12_8_Hos,0,6405.0,2,118.0
COR_12_8_Hos,0,9172.0,3,123.0
COR_12_8_Hos,0,37920.5,3,127.0
COR_12_8_Hos,0,35678.5,2,133.0
COR_12_8_Hos,0,4801.0,2,137.0
COR_12_8_Hos,0,1874.5,1,152.0
COR_12_8_Hos,0,2958.0,2,155.0
COR_12_8_Hos,0,1694.5,2,174.0
COR_12_8_Hos,0,1926.0,1,192.0
COR_12_8_Hos,0,14770.0,1,213.0
COR_12_8_Hos,0,2550.5,1,239.0
COR_12_8_Hos,0,3672.0,3,272.0
COR_12_8_Hos,0,10221.0,4,276.0
COR_12_8_Hos,1,34095.5,4,280.0
COR_12_8_Hos,0,29278.5,3,284.0
COR_12_8_Hos,0,2323.5,2,318.0
COR_12_8_Hos,0,4909.0,1,342.0
COR_12_8_Hos,0,9196.5,1,352.0
COR_12_8_Hos,0,5318.5,1,394.0
COR_12_8_Hos,0,2268.5,2,422.0
COR_12_9_Hos,0,21193.5,2,44.0
COR_12_9_Hos,0,18675.5,3,47.0
COR_12_9_Hos,0,16352.0,4,49.0
COR_12_9_Hos,0,13744.0,5,51.0
COR_12_9_Hos,0,13630.0,4,54.0
COR_12_9_Hos,0,13748.5,4,57.0
COR_12_9_Hos,0,6700.0,4,62.0
COR_12_9_Hos,0,6330.0,3,70.0
COR_12_9_Hos,0,18835.5,4,84.0
COR_12_9_Hos,0,20107.5,3,89.0
COR_12_9_Hos,0,3586.0,1,105.0
COR_12_9_Hos,0,115758.0,3,119.0
COR_12_9_Hos,0,3109.0,1,134.0
COR_12_9_Hos,0,3899.5,1,163.0
COR_12_9_Hos,0,2683.0,1,192.0
COR_12_9_Hos,0,14391.0,1,214.0
COR_12_9_Hos,0,2468.0,1,224.0
COR_12_9_Hos,0,3919.5,1,240.0
COR_12_9_Hos,0,3476.0,3,261.0
COR_12_9_Hos,0,10179.5,3,265.0
COR_12_9_Hos,1,41516.0,2,269.0
COR_12_9_Hos,0,20212.0,4,278.0
COR_12_9_Hos,0,3205.0,2,304.0
COR_12_9_Hos,0,11406.0,3,308.0
COR_12_9_Hos,1,33290.0,2,312.0
COR_12_9_Hos,0,25502.0,2,316.0
COR_12_9_Hos,0,10043.0,2,355.0
COR_12_9_Hos,0,20442.5,1,422.0
COR_12_10_Hos,0,42088.0,2,44.0
COR_12_10_Hos,0,39100.0,3,47.0
COR_12_10_Hos,0,37057.0,4,49.0
COR_12_10_Hos,0,27073.5,5,51.0
COR_12_10_Hos,0,12211.5,5,53.0
COR_12_10_Hos,0,9380.0,4,57.0
COR_12_10_Hos,0,7290.5,4,65.0
COR_12_10_Hos,0,21031.0,3,69.0
COR_12_10_Hos,0,11369.0,1,84.0
COR_12_10_Hos,0,14146.5,3,90.0
COR_12_10_Hos,0,17387.0,3,93.0
COR_12_10_Hos,0,4822.5,1,105.0
COR_12_10_Hos,0,87471.5,2,121.0
COR_12_10_Hos,0,87511.5,3,123.0
COR_12_10_Hos,0,83456.0,3,127.0
COR_12_10_Hos,0,28378.5,2,133.0
COR_12_10_Hos,0,2722.5,1,163.0
COR_12_10_Hos,0,17192.0,2,214.0
COR_12_10_Hos,0,6986.5,3,241.0
COR_12_10_Hos,1,40594.0,2,245.0
COR_12_10_Hos,0,2075.5,1,265.0
COR_12_10_Hos,0,7355.0,2,269.0
COR_12_10_Hos,1,25807.5,2,272.0
COR_12_10_Hos,0,24434.5,4,277.0
COR_12_10_Hos,0,7197.5,3,280.0
COR_12_10_Hos,0,6526.5,2,354.0
COR_12_10_Hos,0,8413.5,1,394.0
COR_12_11_Hos,0,18975.0,4,45.0
COR_12_11_Hos,0,17271.0,3,46.0
COR_12_11_Hos,0,11489.5,5,51.0
COR_12_11_Hos,0,6213.5,6,55.0
COR_12_11_Hos,0,6523.5,5,57.0
COR_12_11_Hos,0,3719.5,4,69.0
COR_12_11_Hos,0,3296.5,1,84.0
COR_12_11_Hos,0,3183.0,1,105.0
COR_12_11_Hos,0,7712.5,3,111.0
COR_12_11_Hos,0,127423.0,2,116.0
COR_12_11_Hos,0,8906.5,3,127.0
COR_12_11_Hos,0,954.0,1,192.0
COR_12_11_Hos,0,3555.0,1,312.0
COR_12_13_Hos,0,17697.5,3,46.0
COR_12_13_Hos,0,16120.0,4,49.0
COR_12_13_Hos,0,14141.5,4,51.0
COR_12_13_Hos,0,8214.0,6,55.0
COR_12_13_Hos,0,8193.5,5,57.0
COR_12_13_Hos,0,5844.0,3,69.0
COR_12_13_Hos,0,7246.0,1,83.0
COR_12_13_Hos,0,10018.5,4,89.0
COR_12_13_Hos,0,10215.0,3,93.0
COR_12_13_Hos,0,2869.0,1,105.0
COR_12_13_Hos,0,121231.0,2,121.0
COR_12_13_Hos,0,2159.0,1,152.0
COR_12_13_Hos,0,21091.5,2,155.0
COR_12_13_Hos,0,22021.5,3,158.0
COR_12_13_Hos,0,4426.5,3,164.0
COR_12_13_Hos,0,3190.5,1,192.0
COR_12_13_Hos,0,16358.5,1,214.0
COR_12_13_Hos,0,1904.5,1,292.0
COR_12_13_Hos,0,6055.5,2,296.0
COR_12_13_Hos,1,28602.0,2,299.0
COR_12_13_Hos,0,4938.0,2,320.0
COR_12_13_Hos,1,19509.5,2,324.0
COR_12_13_Hos,0,16661.0,2,329.0
COR_12_13_Hos,0,2865.5,1,353.0
COR_12_13_Hos,0,2681.0,1,394.0
COR_12_14_Hos,0,33805.5,3,43.0
COR_12_14_Hos,0,30308.5,3,47.0
COR_12_14_Hos,0,25276.0,4,49.0
COR_12_14_Hos,0,19103.5,5,51.0
COR_12_14_Hos,0,13712.5,5,53.0
COR_12_14_Hos,0,10971.5,5,57.0
COR_12_14_Hos,0,9531.5,3,69.0
COR_12_14_Hos,0,13163.0,1,83.0
COR_12_14_Hos,0,17114.5,2,89.0
COR_12_14_Hos,0,8403.0,1,105.0
COR_12_14_Hos,0,36442.5,1,119.0
COR_12_14_Hos,0,28903.0,2,124.0
COR_12_14_Hos,0,8318.5,3,126.0
COR_12_14_Hos,0,4850.5,2,133.0
COR_12_14_Hos,0,2026.0,1,155.0
COR_12_14_Hos,0,5930.5,2,158.0
COR_12_14_Hos,0,7760.0,2,164.0
COR_12_14_Hos,0,4765.0,2,169.0
COR_12_14_Hos,0,4567.5,1,192.0
COR_12_14_Hos,0,5278.0,1,203.0
COR_12_14_Hos,0,34300.0,1,213.0
COR_12_14_Hos,0,5420.0,1,224.0
COR_12_14_Hos,0,4526.5,2,254.0
COR_12_14_Hos,0,2973.0,1,266.0
COR_12_14_Hos,0,3309.5,2,312.0
COR_12_14_Hos,0,12074.0,2,316.0
COR_12_14_Hos,1,35739.0,2,320.0
COR_12_14_Hos,0,30888.5,2,325.0
COR_12_14_Hos,0,8677.0,1,352.0
COR_12_14_Hos,0,3233.5,1,422.0
COR_12_16_Hos,0,39461.0,3,44.0
COR_12_16_Hos,0,36716.0,3,47.0
COR_12_16_Hos,0,31641.5,4,49.0
