Unnamed: 0.1,Hsc 20,Hsc 20.1,Height_column1,Height_column2,Index_column3,Index_column4
TWI_12_41_Hos,206.0,238.0,15845.0,5799.0,3000.0,3342.0
TWI_12_42_Hos,204.0,204.0,20085.0,20085.0,2935.0,2935.0
TWI_12_45_Hos,214.0,214.0,24576.0,24576.0,3031.0,3031.0
TWI_12_47_Hos,214.0,214.0,13615.0,13615.0,3038.0,3038.0
POP,,,,,,
BOH_12_1,212.0,214.0,6022.0,6022.0,3204.0,3204.0
BOH_12_2,200.0,228.0,7137.0,2466.0,3029.0,3334.0
BOH_12_3,212.0,218.0,4943.0,3706.0,3142.0,3207.0
BOH_12_4,220.0,226.0,3140.0,1246.0,3200.0,3264.0
BOH_12_5,214.0,216.0,15513.0,15513.0,3117.0,3117.0
BOH_12_6,214.0,228.0,5933.0,3502.0,3126.0,3273.0
BOH_12_7,212.0,216.0,5147.0,5091.0,3095.0,3140.0
BOH_12_8,206.0,226.0,8304.0,3487.0,3046.0,3262.0
BOH_12_9,216.0,220.0,6485.0,5818.0,3194.0,3237.0
BOH_12_10,214.0,214.0,8151.0,8151.0,3141.0,3141.0
BOH_12_11,194.0,214.0,15414.0,9416.0,2898.0,3130.0
BOH_12_12,198.0,210.0,6126.0,3952.0,2922.0,3048.0
BOH_12_13,214.0,216.0,5800.0,5800.0,3085.0,3085.0
BOH_12_14,198.0,198.0,10812.0,10812.0,2913.0,2913.0
BOH_12_15,214.0,220.0,5063.0,5013.0,3082.0,3147.0
BOH_12_16,214.0,216.0,4730.0,4730.0,3117.0,3117.0
BOH_12_17,198.0,218.0,1479.0,1005.0,2954.0,3168.0
BOH_12_18,216.0,226.0,971.0,996.0,3107.0,3215.0
BOH_12_19,198.0,210.0,4956.0,3981.0,2909.0,3039.0
BOH_12_20,226.0,228.0,2463.0,2463.0,3196.0,3196.0
BOH_12_21,218.0,218.0,1730.0,1730.0,3093.0,3093.0
BOH_12_22,200.0,224.0,5975.0,3578.0,2892.0,3143.0
BOH_12_23,222.0,194.0,2264.0,8326.0,3140.0,2825.0
BOH_12_24,216.0,218.0,9205.0,9205.0,3087.0,3087.0
BOH_12_25,200.0,226.0,20949.0,4736.0,2959.0,3236.0
BOH_12_26,222.0,226.0,5215.0,4361.0,3153.0,3197.0
BOH_12_27,196.0,218.0,2571.0,1587.0,2865.0,3096.0
BOH_12_28,216.0,216.0,11218.0,11218.0,3058.0,3058.0
BOH_12_29,218.0,226.0,3193.0,1220.0,3065.0,3150.0
BOH_12_30,198.0,208.0,8446.0,7914.0,2856.0,2961.0
POP,,,,,,
GEN_12_2_Hos,200.0,214.0,2373.0,1975.0,3137.0,3316.0
GEN_12_3_Hos,206.0,224.0,1727.0,503.0,3220.0,3421.0
GEN_12_4_Hos,220.0,230.0,4509.0,1483.0,3361.0,3473.0
GEN_12_5_Hos,212.0,216.0,1403.0,1483.0,3254.0,3298.0
GEN_12_6_Hos,214.0,214.0,2252.0,2252.0,3250.0,3250.0
GEN_12_8_Hos,228.0,228.0,1242.0,1242.0,3428.0,3428.0
GEN_12_9_Hos,220.0,222.0,1071.0,1635.0,3358.0,3380.0
GEN_12_10_Hos,230.0,194.0,347.0,1960.0,3440.0,3020.0
GEN_12_11_Hos,212.0,212.0,2302.0,2302.0,3209.0,3209.0
GEN_12_14_Hos,220.0,224.0,594.0,745.0,3276.0,3319.0
GEN_12_15_Hos,216.0,200.0,3899.0,5632.0,3250.0,3053.0
GEN_12_16_Hos,210.0,212.0,2488.0,2488.0,3203.0,3203.0
GEN_12_17_Hos,214.0,224.0,4098.0,1492.0,3248.0,3358.0
GEN_12_18_Hos,216.0,218.0,1822.0,1822.0,3268.0,3268.0
GEN_12_19_Hos,210.0,212.0,1399.0,1399.0,3153.0,3153.0
GEN_12_20_Hos,214.0,224.0,1237.0,395.0,3165.0,3275.0
GEN_12_21_Hos,202.0,230.0,1367.0,401.0,3040.0,3343.0
GEN_12_22_Hos,212.0,214.0,3058.0,3058.0,3153.0,3153.0
GEN_12_23_Hos,212.0,220.0,1744.0,1230.0,3163.0,3248.0
